Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption
eV,,eV,,eV,,eV,,eV,
,As Deposited,,Gd (3 nm),,Gd (7 nm),,Gd (20 nm),,Ta (20 nm) Annealed
927.20001221,0.0385569611859401,927.20001221,0.0376814080883825,927.20001221,0.033752629750075,927.20001221,0.0354561934690128,927.20001221,0.0652708231626941
927.40002441,0.0406780004108017,927.40002441,0.0408086079188096,927.40002441,0.036275473310818,927.40002441,0.0399535473453368,927.40002441,0.0652193742513205
927.59997559,0.0418545853733491,927.59997559,0.0407817206472127,927.59997559,0.0382545616922038,927.59997559,0.0406010492657358,927.59997559,0.0662415645213249
927.79998779,0.0452203947638179,927.79998779,0.0449595745717478,927.79998779,0.0411497896125173,927.79998779,0.0421905424593868,927.79998779,0.0745993542713691
928,0.0474698794918177,928,0.0482293283660013,928,0.0441128413042252,928,0.0463229945310824,928,0.0720516340690773
928.20001221,0.0526670449773037,928.20001221,0.053280448044129,928.20001221,0.0472414159601981,928.20001221,0.0507780606875749,928.20001221,0.0813117053087968
928.40002441,0.0535949239625576,928.40002441,0.0563309791042439,928.40002441,0.0506443981895193,928.40002441,0.0539573581929607,928.40002441,0.0780320175013145
928.59997559,0.0562504792558869,928.59997559,0.0610332050416888,928.59997559,0.0553757647126772,928.59997559,0.0597799025752782,928.59997559,0.0846247767001278
928.79998779,0.0633594326413283,928.79998779,0.0673279147799866,928.79998779,0.0604942334012651,928.79998779,0.0673414800612714,928.79998779,0.0875743082297589
929,0.0705898148289976,929,0.075548927698467,929,0.0692894201368549,929,0.0750325112335613,929,0.0818840353807593
929.20001221,0.0761654145530256,929.20001221,0.0842728323019093,929.20001221,0.0750443989836843,929.20001221,0.0846406587659689,929.20001221,0.09431150288514
929.40002441,0.0839565805455031,929.40002441,0.0969141468127383,929.40002441,0.0859126642538142,929.40002441,0.0952995272226933,929.40002441,0.106537204644927
929.59997559,0.0997835845912216,929.59997559,0.111008234084741,929.59997559,0.100054682155306,929.59997559,0.113383854279268,929.59997559,0.127574319068091
929.79998779,0.114391300909507,929.79998779,0.128746593200751,929.79998779,0.120060519610931,929.79998779,0.13690902143949,929.79998779,0.136151560874509
930,0.136941905451401,930,0.155035107711759,930,0.142851352249041,930,0.172605941289833,930,0.15971058097661
930.20001221,0.172135785002843,930.20001221,0.194652070063095,930.20001221,0.17885835990596,930.20001221,0.223075072961851,930.20001221,0.200415438840757
930.40002441,0.219034034173841,930.40002441,0.245506550320901,930.40002441,0.231749798191856,930.40002441,0.308684035380687,930.40002441,0.256109687688198
930.59997559,0.289001228048593,930.59997559,0.325419831925669,930.59997559,0.31153366588129,930.59997559,0.431423338842301,930.59997559,0.359965761474614
930.79998779,0.393846577524964,930.79998779,0.443903756632117,930.79998779,0.428191108098392,930.79998779,0.611544590532636,930.79998779,0.487673731637346
931,0.553507287017125,931,0.619304150520747,931,0.598695464333389,931,0.812460626438045,931,0.678131078033279
931.20001221,0.728801783729814,931.20001221,0.807152704405334,931.20001221,0.776782081324672,931.20001221,0.960569937931726,931.20001221,0.854711138480913
931.40002441,0.903898244541944,931.40002441,0.948336187068259,931.40002441,0.937446668418167,931.40002441,1,931.40002441,0.986472305399057
931.59997559,0.996739590658746,931.59997559,1,931.59997559,1,931.59997559,0.90516490496114,931.59997559,0.994621616832279
931.79998779,0.999080224899464,931.79998779,0.968037241348033,931.79998779,0.955528921952699,931.79998779,0.740680138345524,931.79998779,0.839333114318436
932,0.936530416368967,932,0.87748290629618,932,0.833604558924095,932,0.5664158006229,932,0.642074864234704
932.20001221,0.858408412846643,932.20001221,0.775857751550953,932.20001221,0.712584703411526,932.20001221,0.420412729040084,932.20001221,0.491354369318279
932.40002441,0.778829748914213,932.40002441,0.679527613227497,932.40002441,0.602368939125436,932.40002441,0.330658861516017,932.40002441,0.409076676732048
932.59997559,0.709129087044034,932.59997559,0.611415212729824,932.59997559,0.521085122502323,932.59997559,0.270875031403254,932.59997559,0.402616290671852
932.79998779,0.661943339197758,932.79998779,0.571158513785963,932.79998779,0.475721150275399,932.79998779,0.242940489845006,932.79998779,0.410608931229037
933,0.636849205126006,933,0.543826687247352,933,0.445641317402239,933,0.238668850363957,933,0.440088638377466
933.20001221,0.606212277246262,933.20001221,0.510906738916835,933.20001221,0.422978284681862,933.20001221,0.251693941934328,933.20001221,0.486002637820093
933.40002441,0.549268502424421,933.40002441,0.461697010493983,933.40002441,0.392738613423091,933.40002441,0.285233253155182,933.40002441,0.557133891749323
933.59997559,0.478207936330518,933.59997559,0.402637773394208,933.59997559,0.360137732982667,933.59997559,0.320825922808431,933.59997559,0.640835140961336
933.79998779,0.417732298843748,933.79998779,0.348933936637835,933.79998779,0.328978283625093,933.79998779,0.342621757317096,933.79998779,0.749997326138471
934,0.357148607584321,934,0.304499185034866,934,0.313696806644651,934,0.355133210924517,934,0.847640715420871
934.20001221,0.30638082324452,934.20001221,0.27085681196938,934.20001221,0.303144204741623,934.20001221,0.355908177569086,934.20001221,0.944187883040492
934.40002441,0.27339457427943,934.40002441,0.245523067306864,934.40002441,0.293706288783662,934.40002441,0.340247838229979,934.40002441,0.984096733129237
934.59997559,0.241453517410804,934.59997559,0.220370521445652,934.59997559,0.277399248629913,934.59997559,0.308152116801783,934.59997559,0.942491039996001
934.79998779,0.223093963487287,934.79998779,0.203884562295517,934.79998779,0.254917776805236,934.79998779,0.277856304393212,934.79998779,0.831805648595619
935,0.210879162712803,935,0.192256313072768,935,0.234779448630775,935,0.253656066481943,935,0.726722614677296
935.20001221,0.200878714096928,935.20001221,0.185861349894135,935.20001221,0.225825033475583,935.20001221,0.243545488089543,935.20001221,0.63849934229127
935.40002441,0.201339676615675,935.40002441,0.184496953079389,935.40002441,0.222134912157402,935.40002441,0.23824291269547,935.40002441,0.590578188273765
935.59997559,0.206646623405632,935.59997559,0.187756489845467,935.59997559,0.226955744215818,935.59997559,0.239732094923869,935.59997559,0.556167129213623
935.79998779,0.213120320615159,935.79998779,0.193661085139263,935.79998779,0.233368510405162,935.79998779,0.240143366392494,935.79998779,0.551598067142862
936,0.224209435818012,936,0.200658272773528,936,0.239438052482015,936,0.242155195194148,936,0.532010936561831
936.20001221,0.234202075809003,936.20001221,0.208211872211838,936.20001221,0.247608043757937,936.20001221,0.24477605736473,936.20001221,0.53202879371898
936.40002441,0.244911488456898,936.40002441,0.213550270934761,936.40002441,0.254200756716105,936.40002441,0.248383739765004,936.40002441,0.513939562411911
936.59997559,0.253584005580241,936.59997559,0.216842217618409,936.59997559,0.261985645353972,936.59997559,0.248349420876698,936.59997559,0.504956527946144
936.79998779,0.256769750340205,936.79998779,0.219200217228491,936.79998779,0.259268274417621,936.79998779,0.253224196575022,936.79998779,0.502496046747151
937,0.2572300882318,937,0.217605412861764,937,0.261189654802624,937,0.256569051080526,937,0.491418819666052
937.20001221,0.255329315637896,937.20001221,0.215819854357968,937.20001221,0.258871100735204,937.20001221,0.255281561099857,937.20001221,0.484401464414816
937.40002441,0.254681604600083,937.40002441,0.214578800776291,937.40002441,0.259971561935818,937.40002441,0.260474281815812,937.40002441,0.465685453542715
937.59997559,0.252436500951256,937.59997559,0.21328322784906,937.59997559,0.260563971819647,937.59997559,0.262519029207292,937.59997559,0.469272492638284
937.79998779,0.248298032606686,937.79998779,0.2115089577294,937.79998779,0.259921187258046,937.79998779,0.266696424960722,937.79998779,0.468763277318538
938,0.245561000457362,938,0.211560634524111,938,0.259869489272218,938,0.264014425074278,938,0.454917393052921
938.20001221,0.245639993773489,938.20001221,0.211851715343169,938.20001221,0.26274727257583,938.20001221,0.266933588775391,938.20001221,0.445496022871088
938.40002441,0.247201776779264,938.40002441,0.214184980708521,938.40002441,0.264726326890297,938.40002441,0.265867368187859,938.40002441,0.442125394795151
938.59997559,0.248791498461936,938.59997559,0.21330995611496,938.59997559,0.264383648762208,938.59997559,0.273942980442494,938.59997559,0.443467290131308
938.79998779,0.24914385123673,938.79998779,0.216045388785636,938.79998779,0.266252573174889,938.79998779,0.269354484862666,938.79998779,0.441021335632545
939,0.25185199316135,939,0.216319948401389,939,0.266535279562628,939,0.270117303301681,939,0.444998064676906
939.20001221,0.247557078319712,939.20001221,0.216349630042254,939.20001221,0.266251275093662,939.20001221,0.267271646748096,939.20001221,0.444276212871824
939.40002441,0.248896809794332,939.40002441,0.21585305790357,939.40002441,0.263583080346112,939.40002441,0.262341541496525,939.40002441,0.442740168129627
939.59997559,0.251730467646457,939.59997559,0.214402055457915,939.59997559,0.258658904305796,939.59997559,0.256030897659856,939.59997559,0.43760963357445
939.79998779,0.247147878492591,939.79998779,0.211425825686245,939.79998779,0.25611085130449,939.79998779,0.253317312202909,939.79998779,0.439408552844836
940,0.247409324893754,940,0.209105995089268,940,0.24930990927149,940,0.246327339165861,940,0.436641192756461
940.20001221,0.239668990759411,940.20001221,0.205624959870072,940.20001221,0.245939137494551,940.20001221,0.244584568278713,940.20001221,0.43333714426455
940.40002441,0.238408058769612,940.40002441,0.199974362204029,940.40002441,0.239013657516666,940.40002441,0.239015908939201,940.40002441,0.435260283366173
940.59997559,0.231513009024503,940.59997559,0.196486478518879,940.59997559,0.234256762650777,940.59997559,0.235248498479959,940.59997559,0.432815029123987
940.79998779,0.229630379360725,940.79998779,0.193959996283881,940.79998779,0.22911178172883,940.79998779,0.230133054642535,940.79998779,0.433716013977145
941,0.227428602658892,941,0.18971386477879,941,0.226615513789553,941,0.231473166917007,941,0.420874776455468
941.20001221,0.226033785981431,941.20001221,0.190040520676358,941.20001221,0.226025600464903,941.20001221,0.229891270900014,941.20001221,0.436910757258924
941.40002441,0.221654496868328,941.40002441,0.188326241736785,941.40002441,0.226689388873523,941.40002441,0.230054273593087,941.40002441,0.430827238041471
941.59997559,0.225675598266314,941.59997559,0.18796576996801,941.59997559,0.224821874852201,941.59997559,0.229731974492046,941.59997559,0.423232671908311
941.79998779,0.225130414051996,941.79998779,0.190542757464136,941.79998779,0.225886495715104,941.79998779,0.228018582485993,941.79998779,0.434995284414546
942,0.225903364524317,942,0.192252479584287,942,0.226300905537371,942,0.232063306845003,942,0.444069023490639
942.20001221,0.228579670122335,942.20001221,0.195449768976252,942.20001221,0.230327739190064,942.20001221,0.234365584235639,942.20001221,0.441041996902418
942.40002441,0.23437142524236,942.40002441,0.202123829530811,942.40002441,0.235020088078783,942.40002441,0.236103552850562,942.40002441,0.44322289078913
942.59997559,0.24304373929279,942.59997559,0.206528986829205,942.59997559,0.239924403739082,942.59997559,0.239703345302965,942.59997559,0.446569353434353
942.79998779,0.247688373196196,942.79998779,0.214169804153815,942.79998779,0.245072329629785,942.79998779,0.241643045243689,942.79998779,0.441208940150645
943,0.252341066349109,943,0.21872268175317,943,0.251051033415624,943,0.24580744141132,943,0.438855010471788
943.20001221,0.259615036843871,943.20001221,0.220756663295902,943.20001221,0.253692251583582,943.20001221,0.245977090271228,943.20001221,0.452347077883214
943.40002441,0.259116583355536,943.40002441,0.220985217501154,943.40002441,0.254742123808563,943.40002441,0.250828387506275,943.40002441,0.440512493057788
943.59997559,0.258090198667776,943.59997559,0.221481618609489,943.59997559,0.258844834940916,943.59997559,0.250626395728353,943.59997559,0.455906684073892
943.79998779,0.259778094031329,943.79998779,0.221247024804898,943.79998779,0.258755809509348,943.79998779,0.253510376156737,943.79998779,0.453059263932429
944,0.258103284424088,944,0.22123098642751,944,0.259487182557656,944,0.259448196261962,944,0.454554312352202
944.20001221,0.257258612675116,944.20001221,0.223283740970084,944.20001221,0.262267625551254,944.20001221,0.260598876277253,944.20001221,0.456530890402227
944.40002441,0.257456263846372,944.40002441,0.224354441825873,944.40002441,0.26181233803221,944.40002441,0.264228088353492,944.40002441,0.456509804710392
944.59997559,0.257317432069212,944.59997559,0.225637613536935,944.59997559,0.264288140049002,944.59997559,0.264176180403511,944.59997559,0.460090542780221
944.79998779,0.255719126687775,944.79998779,0.22719965413443,944.79998779,0.266293635000625,944.79998779,0.269898726101042,944.79998779,0.459914527613567
945,0.25919589797814,945,0.23063081282573,945,0.269658664780821,945,0.272467861280619,945,0.465116579787609
945.20001221,0.263425719159916,945.20001221,0.230096292701572,945.20001221,0.272700652095536,945.20001221,0.275719765697075,945.20001221,0.470473625129367
945.40002441,0.262848545940855,945.40002441,0.232173576654428,945.40002441,0.272863068950366,945.40002441,0.281010757083363,945.40002441,0.461967996196792
945.59997559,0.259909594923234,945.59997559,0.234885402279513,945.59997559,0.276802398788768,945.59997559,0.283842466926141,945.59997559,0.470839994132717
945.79998779,0.268687654108474,945.79998779,0.23874963778822,945.79998779,0.281175060345649,945.79998779,0.288678130739508,945.79998779,0.477479433230764
946,0.273034885078486,946,0.243647815518487,946,0.286755388490665,946,0.293395752148518,946,0.476231916558588
946.20001221,0.278409121649748,946.20001221,0.244939247380262,946.20001221,0.288885499537805,946.20001221,0.297019933391648,946.20001221,0.474826962220328
946.40002441,0.280470093535604,946.40002441,0.246678099947809,946.40002441,0.290415985912757,946.40002441,0.29788596688491,946.40002441,0.489869793909679
946.59997559,0.285814859108369,946.59997559,0.247037249513617,946.59997559,0.289173622375098,946.59997559,0.300361995738829,946.59997559,0.481243900485714
946.79998779,0.281176261096677,946.79998779,0.247415491761525,946.79998779,0.288378137906385,946.79998779,0.298300741795446,946.79998779,0.48884966694557
947,0.281275442101469,947,0.246092338538765,947,0.286090755031715,947,0.294058692885183,947,0.501023394369334
947.20001221,0.278287705400453,947.20001221,0.243228234804257,947.20001221,0.284516637303605,947.20001221,0.293778381467098,947.20001221,0.496169228537233
947.40002441,0.273933438716544,947.40002441,0.242547610657728,947.40002441,0.282039026219214,947.40002441,0.293464963516998,947.40002441,0.515715646715413
947.59997559,0.275302671520278,947.59997559,0.241156994880643,947.59997559,0.281710529569164,947.59997559,0.290986339169742,947.59997559,0.521845958113835
947.79998779,0.273489142609888,947.79998779,0.241119118586484,947.79998779,0.28248925090429,947.79998779,0.295278678664588,947.79998779,0.516876562684819
948,0.272705319421185,948,0.242000007917454,948,0.281955971222129,948,0.294651134202772,948,0.530739190191976
948.20001221,0.271763923995475,948.20001221,0.244499969165067,948.20001221,0.285113193498888,948.20001221,0.298276918734451,948.20001221,0.541639060453791
948.40002441,0.273823813748849,948.40002441,0.245913412819037,948.40002441,0.288200459277433,948.40002441,0.300338982235617,948.40002441,0.541012967281092
948.59997559,0.273727717660026,948.59997559,0.247918068399257,948.59997559,0.287586842876443,948.59997559,0.306861940186163,948.59997559,0.545196489672033
948.79998779,0.276445259669306,948.79998779,0.252948249720295,948.79998779,0.293314908327034,948.79998779,0.30718068940756,948.79998779,0.548507581070627
949,0.282572814482091,949,0.256768428076591,949,0.298596927094226,949,0.314759786127474,949,0.544618803138174
949.20001221,0.286301949492,949.20001221,0.263170492174244,949.20001221,0.302458853600909,949.20001221,0.32057139597535,949.20001221,0.556789707737917
