#     thickness (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   2      4.3562451147839 -4.74588910837348e-13 -7.5084709226664e-14                  270
                   2     4.35422176912484 -5.57783779669393e-13 -8.82469690114178e-14                  270
                   2     4.35220785775803 -6.55054548026052e-13 -1.03636176790057e-13                  270
                   2     4.35020356978563 -7.68922272538598e-13 -1.21651188919695e-13                  270
                   2     4.34820908803262 -9.02328185943519e-13 -1.42757337816964e-13                  270
                   2     4.34622458898095 -1.0582135209773e-12 -1.67419955898498e-13                  270
                   2     4.34425024270858 -1.24056995063946e-12 -1.96270565729726e-13                  270
                   2     4.34228621283352 -1.45359923598212e-12 -2.29973927905838e-13                  270
                   2      4.3403326564628 -1.70234349026783e-12 -2.69327755141062e-13                  270
                   2     4.33838972414644 -1.99268517896956e-12 -3.15262712268662e-13                  270
                   2     4.33645755983634 -2.33155720782332e-12 -3.68875654270702e-13                  270
                   2     4.33453630085019 -2.72652274672293e-12 -4.31363150218524e-13                  270
                   2     4.33262607784035 -3.18724584608827e-12 -5.04254149481062e-13                  270
                   2     4.33072701476762 -3.72381073244444e-12 -5.89144077486772e-13                  270
                   2     4.32883922887998 -4.34882268894781e-12 -6.88027216021224e-13                  270
                   2     4.32696283069621 -5.07614752707039e-12 -8.03097275048541e-13                  270
                   2     4.32509792399442 -5.92238220296806e-12 -9.36980058919724e-13                  270
                   2     4.32324460580542 -6.90664472942798e-12 -1.09270022834289e-12                  270
                   2     4.32140296641083  -8.050364087816e-12 -1.27364806235349e-12                  270
                   2     4.31957308934602 -9.37917102055005e-12 -1.4838786005822e-12                  270
